Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost
Australia and Oceania,Palau,Office Supplies,Online,H,6/11/2014,211121451,20/12/14,4384,651.21,524.96
Australia and Oceania,Samoa ,Snacks,Offline,M,19/06/15,732086694,27/06/15,9576,152.58,97.44
Sub-Saharan Africa,Central African Republic,Vegetables,Online,L,16/10/11,321370112,24/11/11,9413,154.06,90.93
Sub-Saharan Africa,Seychelles ,Household,Online,C,28/02/12,958708035,29/03/12,1867,668.27,502.54
Central America and the Caribbean,Belize,Personal Care,Offline,H,9/8/2014,194149291,23/08/14,1944,81.73,56.67
Sub-Saharan Africa,Mauritania,Household,Offline,L,29/08/10,598055207,7/10/2010,6681,668.27,502.54
Australia and Oceania,Tuvalu,Meat,Online,M,5/11/2011,311099612,14/12/11,143,421.89,364.69
Europe,Ireland,Office Supplies,Online,M,10/8/2015,694268834,23/08/15,8431,651.21,524.96
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Offline,H,2/9/2016,478861701,19/10/16,4674,255.28,159.42
Europe,Germany,Vegetables,Offline,L,28/10/10,716489541,7/12/2010,4032,154.06,90.93
Europe,Portugal,Beverages,Offline,H,7/11/2013,729076182,8/12/2013,8699,47.45,31.79
Sub-Saharan Africa,Malawi,Household,Offline,H,24/04/12,358857953,14/05/12,2898,668.27,502.54
Central America and the Caribbean,Guatemala,Clothes,Offline,C,6/10/2012,418383681,24/11/12,7884,109.28,35.84
Asia,Bhutan,Cosmetics,Offline,L,2/4/2015,440514695,20/04/15,6942,437.2,263.33
Europe,Switzerland,Snacks,Offline,C,7/2/2017,928424823,28/02/17,392,152.58,97.44
Europe,Vatican City,Personal Care,Online,M,17/09/16,205600392,27/09/16,580,81.73,56.67
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Offline,C,26/04/17,265840232,25/05/17,6887,437.2,263.33
Middle East and North Africa,Bahrain,Fruits,Offline,L,29/08/15,923255670,2/10/2015,724,9.33,6.92
Central America and the Caribbean,Antigua and Barbuda ,Meat,Online,C,26/04/13,262270534,14/05/13,534,421.89,364.69
Australia and Oceania,Papua New Guinea,Vegetables,Online,C,12/12/2012,487621152,21/01/13,6790,154.06,90.93
Sub-Saharan Africa,Lesotho,Vegetables,Online,C,24/06/14,274356353,8/8/2014,6996,154.06,90.93
Middle East and North Africa,Syria,Clothes,Online,M,2/5/2011,617837464,14/06/11,690,109.28,35.84
Australia and Oceania,Tonga,Cereal,Offline,L,5/12/2016,783738315,4/1/2017,4439,205.7,117.11
North America,Greenland,Fruits,Online,H,16/06/15,558045232,3/7/2015,6840,9.33,6.92
Sub-Saharan Africa,Mozambique,Personal Care,Offline,H,9/2/2011,697057044,13/02/11,3524,81.73,56.67
Central America and the Caribbean,Saint Vincent and the Grenadines,Cereal,Offline,M,17/09/16,677385079,19/09/16,2153,205.7,117.11
Middle East and North Africa,Oman,Clothes,Online,C,30/01/12,945953166,12/2/2012,7418,109.28,35.84
Central America and the Caribbean,Nicaragua,Meat,Online,L,16/12/15,669997632,16/12/15,6043,421.89,364.69
Europe,Germany,Cereal,Offline,M,26/01/14,887067306,10/2/2014,1783,205.7,117.11
Sub-Saharan Africa,Kenya,Vegetables,Offline,H,10/12/2015,455023515,2/1/2016,424,154.06,90.93
Sub-Saharan Africa,Angola,Beverages,Offline,H,17/03/13,102040088,14/04/13,4784,47.45,31.79
Central America and the Caribbean,Trinidad and Tobago,Fruits,Offline,C,26/09/13,176603353,12/11/2013,9711,9.33,6.92
Sub-Saharan Africa,Mali,Cereal,Offline,C,31/01/15,197512137,7/3/2015,7085,205.7,117.11
Asia,North Korea,Clothes,Offline,H,18/11/15,203877770,28/11/15,818,109.28,35.84
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Online,M,13/01/12,305124080,12/2/2012,1851,81.73,56.67
Asia,China,Snacks,Offline,L,29/08/15,230987393,12/9/2015,3158,152.58,97.44
Central America and the Caribbean,Belize,Snacks,Offline,M,8/6/2013,681516540,29/06/13,4744,152.58,97.44
Sub-Saharan Africa,Sierra Leone,Meat,Offline,H,28/10/15,177072846,19/11/15,8645,421.89,364.69
Sub-Saharan Africa,Madagascar,Cereal,Offline,H,1/6/2015,908330142,29/06/15,3929,205.7,117.11
Asia,Uzbekistan,Vegetables,Offline,C,11/6/2013,186274755,21/06/13,1694,154.06,90.93
Asia,Kyrgyzstan,Office Supplies,Online,M,28/12/15,792205512,30/01/16,70,651.21,524.96
Central America and the Caribbean,Nicaragua,Snacks,Online,H,21/01/15,627733743,8/2/2015,9219,152.58,97.44
Europe,Belarus,Personal Care,Online,C,26/01/15,364783275,25/02/15,6332,81.73,56.67
Europe,Liechtenstein,Cereal,Online,C,13/12/13,295590436,27/01/14,634,205.7,117.11
Sub-Saharan Africa,Burkina Faso,Cosmetics,Online,M,18/06/14,782704055,14/07/14,8378,437.2,263.33
Sub-Saharan Africa,Ethiopia,Cereal,Online,M,14/11/12,908985459,17/11/12,7852,205.7,117.11
Central America and the Caribbean,Nicaragua,Vegetables,Offline,H,17/04/10,727608478,30/05/10,4372,154.06,90.93
Middle East and North Africa,Pakistan,Vegetables,Offline,M,20/06/16,812059438,12/7/2016,5288,154.06,90.93
Sub-Saharan Africa,Namibia,Fruits,Online,C,20/09/15,906137168,30/09/15,4979,9.33,6.92
Central America and the Caribbean,Nicaragua,Fruits,Offline,C,18/02/16,373952996,28/03/16,9857,9.33,6.92
Middle East and North Africa,Lebanon,Personal Care,Online,L,7/7/2015,449930751,1/8/2015,3362,81.73,56.67
Asia,Brunei,Cosmetics,Offline,L,20/09/12,188806760,22/09/12,971,437.2,263.33
Australia and Oceania,Australia,Beverages,Offline,L,23/06/11,515629851,5/8/2011,5186,47.45,31.79
Sub-Saharan Africa,Burkina Faso,Clothes,Online,L,22/07/16,175761353,20/08/16,545,109.28,35.84
Europe,Macedonia,Meat,Offline,M,17/11/14,684875094,21/12/14,8615,421.89,364.69
Middle East and North Africa,Iran,Snacks,Online,L,19/02/17,478957402,4/4/2017,2994,152.58,97.44
Europe,Greece,Office Supplies,Offline,L,1/3/2016,764307105,1/4/2016,4312,651.21,524.96
Europe,Bosnia and Herzegovina,Clothes,Online,M,6/6/2013,567535531,11/7/2013,5230,109.28,35.84
Sub-Saharan Africa,Cameroon,Vegetables,Online,L,2/4/2015,785566508,1/5/2015,5442,154.06,90.93
Asia,Taiwan,Personal Care,Online,M,12/11/2013,135636365,14/11/13,6669,81.73,56.67
Central America and the Caribbean,Barbados,Beverages,Offline,H,8/12/2013,105293929,10/1/2014,7668,47.45,31.79
Sub-Saharan Africa,Uganda,Vegetables,Offline,L,15/08/13,902400529,26/08/13,9225,154.06,90.93
Europe,Luxembourg,Vegetables,Online,H,3/12/2015,105129992,18/12/15,9156,154.06,90.93
Middle East and North Africa,Saudi Arabia,Household,Offline,H,4/5/2017,311968648,10/6/2017,7310,668.27,502.54
Sub-Saharan Africa,Zimbabwe,Personal Care,Offline,H,26/08/11,591715323,2/9/2011,568,81.73,56.67
Sub-Saharan Africa,Togo,Beverages,Online,H,1/6/2016,533481347,19/06/16,7841,47.45,31.79
Asia,Bangladesh,Personal Care,Offline,H,7/3/2016,696690547,9/3/2016,5070,81.73,56.67
Australia and Oceania,Federated States of Micronesia,Fruits,Offline,M,15/09/11,361079251,20/09/11,229,9.33,6.92
Sub-Saharan Africa,Nigeria,Clothes,Online,M,3/3/2016,676696288,13/03/16,8324,109.28,35.84
Sub-Saharan Africa,Burundi,Personal Care,Online,C,13/07/13,613902986,26/07/13,6391,81.73,56.67
Sub-Saharan Africa,Seychelles ,Office Supplies,Online,L,26/04/15,113373172,14/06/15,8496,651.21,524.96
Central America and the Caribbean,Trinidad and Tobago,Personal Care,Offline,L,25/05/11,536093175,10/6/2011,738,81.73,56.67
Sub-Saharan Africa,Equatorial Guinea,Personal Care,Online,M,22/08/11,613361823,22/08/11,6249,81.73,56.67
Sub-Saharan Africa,Benin,Household,Offline,H,1/11/2011,496790444,3/11/2011,187,668.27,502.54
Europe,Latvia,Cereal,Online,L,15/08/12,408302867,25/08/12,4747,205.7,117.11
Sub-Saharan Africa,Ghana,Beverages,Online,C,15/09/15,190135419,10/10/2015,4151,47.45,31.79
Asia,Brunei,Vegetables,Online,L,29/06/12,654836928,4/8/2012,9654,154.06,90.93
Middle East and North Africa,Turkey,Fruits,Online,L,12/8/2010,435268723,27/09/10,4543,9.33,6.92
Asia,Brunei,Household,Online,H,16/12/14,934604632,1/2/2015,9135,668.27,502.54
Sub-Saharan Africa,Cameroon,Vegetables,Offline,C,6/5/2016,476330983,17/06/16,5778,154.06,90.93
Asia,Malaysia,Cosmetics,Offline,L,14/06/10,154246604,8/7/2010,3853,437.2,263.33
Sub-Saharan Africa,Senegal,Household,Offline,L,22/09/16,682462823,22/09/16,4770,668.27,502.54
Asia,Tajikistan,Meat,Online,H,15/01/14,145403468,29/01/14,6972,421.89,364.69
Sub-Saharan Africa,Mozambique,Fruits,Offline,L,11/8/2012,747804868,3/9/2012,933,9.33,6.92
Europe,Czech Republic,Vegetables,Online,H,17/05/12,264715850,9/6/2012,4157,154.06,90.93
Sub-Saharan Africa,South Sudan,Baby Food,Online,H,29/04/14,591497743,22/05/14,6181,255.28,159.42
Asia,Tajikistan,Snacks,Online,C,24/09/16,993824374,15/10/16,3572,152.58,97.44
Central America and the Caribbean,Cuba,Household,Offline,L,14/05/11,357682073,10/6/2011,4929,668.27,502.54
Middle East and North Africa,Iran,Baby Food,Offline,H,22/07/17,339369666,1/9/2017,5881,255.28,159.42
Sub-Saharan Africa,Democratic Republic of the Congo,Household,Online,C,8/4/2010,415498483,1/5/2010,4089,668.27,502.54
Europe,Macedonia,Clothes,Offline,H,3/10/2014,132992351,29/10/14,4247,109.28,35.84
Europe,Greece,Baby Food,Offline,L,23/11/11,459087598,5/12/2011,3077,255.28,159.42
Asia,India,Meat,Offline,C,18/02/10,631333053,24/03/10,4335,421.89,364.69
Sub-Saharan Africa,Madagascar,Household,Offline,M,3/6/2011,407590043,10/6/2011,3806,668.27,502.54
Europe,Moldova ,Meat,Offline,H,19/12/14,516032397,23/01/15,4309,421.89,364.69
Central America and the Caribbean,Cuba,Office Supplies,Offline,L,28/06/13,405146443,2/8/2013,691,651.21,524.96
Europe,Belarus,Beverages,Online,M,15/02/12,493731009,26/02/12,4832,47.45,31.79
Europe,Switzerland,Office Supplies,Offline,M,25/01/17,820897424,28/02/17,645,651.21,524.96
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Offline,L,29/08/16,596069514,6/9/2016,9070,651.21,524.96
Central America and the Caribbean,Saint Kitts and Nevis ,Baby Food,Online,L,11/6/2015,448983609,15/06/15,3082,255.28,159.42
Europe,Iceland,Personal Care,Online,M,28/03/15,179688537,28/04/15,2686,81.73,56.67
Middle East and North Africa,Yemen,Baby Food,Offline,H,12/5/2011,108545625,22/05/11,9917,255.28,159.42
Middle East and North Africa,Jordan,Personal Care,Online,H,21/07/11,626228702,22/07/11,3844,81.73,56.67
Australia and Oceania,Marshall Islands,Cosmetics,Online,C,15/01/17,843724095,12/2/2017,5564,437.2,263.33
Sub-Saharan Africa,Burkina Faso,Personal Care,Offline,H,13/03/11,842330634,13/03/11,3208,81.73,56.67
Europe,Russia,Clothes,Offline,H,21/04/16,323659646,5/6/2016,6937,109.28,35.84
Sub-Saharan Africa,Ghana,Vegetables,Offline,H,28/01/14,859634959,21/02/14,3942,154.06,90.93
Sub-Saharan Africa,Togo,Baby Food,Offline,H,2/1/2010,942492902,15/01/10,3449,255.28,159.42
Central America and the Caribbean,Haiti,Vegetables,Offline,C,7/6/2014,934782302,5/7/2014,1711,154.06,90.93
North America,Canada,Clothes,Offline,H,16/01/16,819364488,2/3/2016,7015,109.28,35.84
Sub-Saharan Africa,Angola,Snacks,Online,C,15/12/15,649413287,16/01/16,4678,152.58,97.44
Sub-Saharan Africa,Zimbabwe,Clothes,Offline,M,5/5/2016,998415029,23/05/16,2049,109.28,35.84
Central America and the Caribbean,Cuba,Snacks,Online,H,30/08/16,710168540,19/09/16,3507,152.58,97.44
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,L,10/6/2017,948785150,29/06/17,5465,9.33,6.92
Europe,Belgium,Fruits,Online,L,21/06/16,248688685,26/07/16,1363,9.33,6.92
Europe,Latvia,Personal Care,Online,H,15/08/12,364615476,15/08/12,6677,81.73,56.67
Australia and Oceania,Tuvalu,Meat,Online,M,7/3/2017,421614348,11/4/2017,3910,421.89,364.69
Sub-Saharan Africa,Rwanda,Personal Care,Offline,C,18/03/12,965046632,11/4/2012,7599,81.73,56.67
Asia,Mongolia,Snacks,Offline,H,2/12/2014,810586154,11/1/2015,9311,152.58,97.44
Sub-Saharan Africa,Ethiopia,Beverages,Online,C,13/04/13,194219243,30/04/13,2645,47.45,31.79
Middle East and North Africa,Tunisia ,Office Supplies,Offline,L,11/4/2015,322244727,13/05/15,8231,651.21,524.96
Sub-Saharan Africa,Zambia,Beverages,Offline,C,18/10/14,221273934,5/11/2014,8729,47.45,31.79
Europe,Macedonia,Beverages,Offline,L,4/8/2010,788230693,8/8/2010,3833,47.45,31.79
Europe,Iceland,Clothes,Offline,H,15/01/10,740351331,12/2/2010,5266,109.28,35.84
Sub-Saharan Africa,Ghana,Snacks,Offline,M,28/03/10,665184676,13/04/10,1782,152.58,97.44
Europe,Poland,Vegetables,Offline,L,28/11/16,770592057,8/12/2016,4169,154.06,90.93
Sub-Saharan Africa,Comoros,Meat,Online,C,6/5/2010,434747302,12/6/2010,243,421.89,364.69
Sub-Saharan Africa,Cameroon,Office Supplies,Offline,M,1/5/2017,456136739,10/6/2017,9852,651.21,524.96
Australia and Oceania,Kiribati,Baby Food,Offline,M,1/7/2016,803559195,19/08/16,9878,255.28,159.42
Sub-Saharan Africa,Swaziland,Fruits,Online,H,8/4/2010,166126000,14/04/10,9230,9.33,6.92
Europe,Greece,Baby Food,Online,H,21/06/13,903260982,5/8/2013,3852,255.28,159.42
Asia,Nepal,Cereal,Online,H,22/09/11,494700467,2/10/2011,1716,205.7,117.11
Middle East and North Africa,Iran,Cereal,Offline,H,21/08/10,990493285,25/09/10,7829,205.7,117.11
Central America and the Caribbean,Haiti,Clothes,Offline,L,17/11/16,461000764,2/12/2016,9225,109.28,35.84
Sub-Saharan Africa,Liberia,Personal Care,Offline,H,10/9/2011,646896731,16/10/11,9973,81.73,56.67
Australia and Oceania,Tuvalu,Beverages,Offline,H,26/03/15,209167516,12/5/2015,6171,47.45,31.79
Sub-Saharan Africa,Swaziland,Office Supplies,Offline,C,27/08/14,579111945,29/09/14,949,651.21,524.96
Asia,Japan,Cereal,Online,C,26/04/13,108341348,9/6/2013,9467,205.7,117.11
Europe,Kosovo,Office Supplies,Online,M,12/11/2011,818779551,1/12/2011,3919,651.21,524.96
Sub-Saharan Africa,Madagascar,Vegetables,Offline,L,31/12/11,752662885,7/1/2012,8528,154.06,90.93
Europe,Serbia,Cereal,Offline,C,12/9/2012,722540175,13/09/12,4549,205.7,117.11
Central America and the Caribbean,Belize,Meat,Offline,C,7/1/2014,261272752,8/1/2014,5268,421.89,364.69
Central America and the Caribbean,Costa Rica,Clothes,Offline,L,13/04/13,772034442,2/6/2013,1003,109.28,35.84
Sub-Saharan Africa,Zambia,Vegetables,Offline,L,15/06/16,578311574,16/06/16,4101,154.06,90.93
Europe,Germany,Vegetables,Online,L,20/08/11,773902976,7/10/2011,3943,154.06,90.93
Central America and the Caribbean,Haiti,Fruits,Offline,C,12/9/2010,272919976,27/10/10,1941,9.33,6.92
Sub-Saharan Africa,Ethiopia,Clothes,Online,C,27/03/15,759786403,4/5/2015,6536,109.28,35.84
Sub-Saharan Africa,Djibouti,Vegetables,Online,C,1/10/2012,839238584,4/11/2012,8201,154.06,90.93
Australia and Oceania,East Timor,Office Supplies,Offline,L,30/09/10,986325347,29/10/10,4443,651.21,524.96
Central America and the Caribbean,Costa Rica,Meat,Online,C,21/03/10,396408021,22/04/10,4797,421.89,364.69
Europe,Croatia,Clothes,Offline,M,4/1/2017,135160434,14/02/17,5831,109.28,35.84
Sub-Saharan Africa,Burundi,Vegetables,Offline,L,27/04/15,888568913,12/5/2015,6142,154.06,90.93
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,L,25/11/16,712932288,29/11/16,1362,81.73,56.67
Sub-Saharan Africa,Seychelles ,Office Supplies,Offline,H,14/11/11,884861886,5/12/2011,9151,651.21,524.96
Sub-Saharan Africa,Burundi,Snacks,Online,L,1/5/2010,951281535,17/05/10,4201,152.58,97.44
Middle East and North Africa,Azerbaijan,Clothes,Offline,C,17/11/15,979427564,18/11/15,3236,109.28,35.84
Sub-Saharan Africa,Ghana,Baby Food,Offline,C,30/03/14,206848800,30/04/14,11,255.28,159.42
Sub-Saharan Africa,South Sudan,Fruits,Offline,H,11/12/2014,191406571,31/12/14,313,9.33,6.92
Middle East and North Africa,Turkey,Vegetables,Online,M,13/03/17,761274707,3/4/2017,6958,154.06,90.93
Central America and the Caribbean,Barbados,Household,Offline,L,19/09/13,464939534,20/09/13,4795,668.27,502.54
Sub-Saharan Africa,Rwanda,Beverages,Online,H,17/03/17,621199882,3/4/2017,5704,47.45,31.79
Asia,India,Vegetables,Offline,H,27/02/11,369167077,4/4/2011,3597,154.06,90.93
Europe,Netherlands,Office Supplies,Offline,H,10/3/2014,718264949,24/03/14,9415,651.21,524.96
Europe,Croatia,Office Supplies,Online,H,13/09/15,498229825,6/10/2015,6132,651.21,524.96
Middle East and North Africa,Somalia,Meat,Online,L,6/7/2017,409110534,25/07/17,3753,421.89,364.69
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Offline,M,11/12/2014,771268403,6/1/2015,4315,109.28,35.84
Central America and the Caribbean,Trinidad and Tobago,Vegetables,Online,M,26/09/15,175377261,29/09/15,6884,154.06,90.93
Sub-Saharan Africa,Mauritania,Cereal,Online,H,17/07/13,432423436,9/8/2013,2559,205.7,117.11
Europe,Greece,Baby Food,Online,L,12/6/2014,723705756,29/07/14,9470,255.28,159.42
Europe,Hungary,Clothes,Online,L,14/06/10,750835549,14/06/10,7779,109.28,35.84
Europe,Austria,Fruits,Online,L,22/07/13,285736644,6/9/2013,4677,9.33,6.92
Europe,Portugal,Baby Food,Offline,L,8/2/2014,520645368,17/02/14,9389,255.28,159.42
Central America and the Caribbean,Haiti,Household,Offline,L,15/11/14,918110549,21/11/14,8169,668.27,502.54
Europe,Iceland,Personal Care,Online,H,11/2/2012,560993516,26/02/12,9303,81.73,56.67
Sub-Saharan Africa,The Gambia,Office Supplies,Online,H,8/7/2014,402468097,27/08/14,8108,651.21,524.96
Sub-Saharan Africa,Benin,Vegetables,Offline,C,8/9/2016,116020619,20/10/16,1934,154.06,90.93
Europe,Latvia,Household,Offline,C,5/7/2010,345449912,12/7/2010,5160,668.27,502.54
Asia,Uzbekistan,Meat,Offline,L,25/08/11,454867303,22/09/11,4198,421.89,364.69
Europe,Portugal,Cereal,Offline,C,1/5/2010,778696620,24/05/10,2489,205.7,117.11
Sub-Saharan Africa,Nigeria,Fruits,Online,C,30/12/12,371674191,24/01/13,5508,9.33,6.92
Asia,Thailand,Fruits,Offline,L,16/10/15,158848845,21/10/15,5758,9.33,6.92
Asia,Malaysia,Personal Care,Offline,M,1/12/2015,685581910,18/01/16,7777,81.73,56.67
Sub-Saharan Africa,Mauritania,Office Supplies,Online,H,8/6/2015,767547214,2/7/2015,3132,651.21,524.96
Europe,Ireland,Cosmetics,Online,L,22/06/17,640731084,12/7/2017,5421,437.2,263.33
Middle East and North Africa,Lebanon,Personal Care,Online,L,10/11/2014,611432349,19/11/14,5274,81.73,56.67
Central America and the Caribbean,Costa Rica,Fruits,Online,L,20/08/16,606262338,20/09/16,5353,9.33,6.92
Middle East and North Africa,Morocco,Personal Care,Online,C,22/12/13,622144877,31/12/13,5350,81.73,56.67
Sub-Saharan Africa,Chad,Cereal,Offline,C,5/4/2014,276316297,7/5/2014,6987,205.7,117.11
Asia,India,Baby Food,Offline,H,1/8/2014,156325423,29/08/14,9021,255.28,159.42
Asia,Kyrgyzstan,Meat,Online,C,5/2/2013,470033586,14/03/13,2238,421.89,364.69
Asia,Malaysia,Baby Food,Offline,C,23/10/12,595614612,29/11/12,4454,255.28,159.42
Middle East and North Africa,Libya,Fruits,Offline,H,22/03/10,431554830,11/4/2010,5519,9.33,6.92
Asia,Cambodia,Personal Care,Offline,C,1/4/2014,846653068,19/04/14,2312,81.73,56.67
Australia and Oceania,Kiribati,Clothes,Offline,M,1/3/2012,530020654,23/03/12,3745,109.28,35.84
Sub-Saharan Africa,Liberia,Household,Online,H,28/03/11,941081416,12/4/2011,5759,668.27,502.54
Europe,Bosnia and Herzegovina,Baby Food,Online,M,20/03/12,459571683,2/5/2012,6329,255.28,159.42
Central America and the Caribbean,Costa Rica,Household,Online,H,23/02/13,235540282,1/4/2013,459,668.27,502.54
Central America and the Caribbean,Guatemala,Cereal,Offline,M,16/02/13,139348542,2/4/2013,5185,205.7,117.11
Sub-Saharan Africa,Lesotho,Beverages,Offline,H,10/2/2016,111670291,12/2/2016,4575,47.45,31.79
Europe,Latvia,Meat,Online,H,20/12/11,613491857,26/12/11,4728,421.89,364.69
Asia,Singapore,Office Supplies,Offline,C,27/07/10,376112067,9/9/2010,8774,651.21,524.96
Europe,Russia,Clothes,Online,C,11/4/2015,451142251,24/04/15,1872,109.28,35.84
Europe,Norway,Beverages,Offline,L,1/8/2011,160506236,6/8/2011,6217,47.45,31.79
Sub-Saharan Africa,Swaziland,Beverages,Offline,C,2/5/2016,246440351,21/05/16,6031,47.45,31.79
Asia,Brunei,Baby Food,Online,H,18/05/13,621493422,2/7/2013,2570,255.28,159.42
Australia and Oceania,Marshall Islands,Baby Food,Online,M,29/04/10,818526780,3/6/2010,9119,255.28,159.42
Middle East and North Africa,Lebanon,Beverages,Online,M,31/01/12,440714251,3/3/2012,5996,47.45,31.79
Middle East and North Africa,Jordan,Personal Care,Offline,L,13/01/17,511542165,21/02/17,5549,81.73,56.67
Sub-Saharan Africa,Chad,Clothes,Online,H,15/04/13,324809348,3/6/2013,7159,109.28,35.84
Europe,Moldova ,Baby Food,Online,L,18/09/12,594627130,6/10/2012,2236,255.28,159.42
Europe,Montenegro,Cosmetics,Online,C,26/11/16,305419337,6/1/2017,9224,437.2,263.33
Sub-Saharan Africa,Comoros,Personal Care,Offline,H,12/5/2013,761922299,5/6/2013,8595,81.73,56.67
Central America and the Caribbean,Dominican Republic,Clothes,Offline,M,1/3/2017,639184844,14/03/17,7854,109.28,35.84
Europe,Denmark,Cereal,Online,H,27/02/14,932568299,18/03/14,6538,205.7,117.11
Central America and the Caribbean,Costa Rica,Snacks,Online,C,11/3/2010,907746493,19/04/10,1214,152.58,97.44
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Online,C,4/3/2012,350705754,4/4/2012,481,437.2,263.33
Asia,Malaysia,Office Supplies,Online,M,20/09/16,917744910,6/11/2016,9968,651.21,524.96
Asia,Kyrgyzstan,Vegetables,Online,M,11/12/2013,285475289,28/01/14,7337,154.06,90.93
Asia,Bhutan,Cosmetics,Online,L,13/12/13,700820720,16/01/14,7280,437.2,263.33
Asia,Brunei,Household,Offline,M,5/10/2012,431017529,25/10/12,6520,668.27,502.54
Central America and the Caribbean,The Bahamas,Clothes,Offline,H,3/4/2011,513614547,9/4/2011,8813,109.28,35.84
Asia,Cambodia,Cereal,Online,C,16/05/11,706473100,26/05/11,9944,205.7,117.11
Middle East and North Africa,Afghanistan,Vegetables,Online,H,30/04/12,837767016,4/6/2012,2732,154.06,90.93
Central America and the Caribbean,Haiti,Cosmetics,Online,H,1/6/2014,355982625,18/07/14,2024,437.2,263.33
Europe,Poland,Cereal,Offline,M,13/03/15,579918754,13/03/15,9701,205.7,117.11
Central America and the Caribbean,Haiti,Office Supplies,Offline,H,17/04/13,648686730,2/5/2013,9674,651.21,524.96
Europe,Lithuania,Household,Offline,H,10/3/2012,671710383,28/04/12,2884,668.27,502.54
Asia,South Korea,Beverages,Online,C,5/6/2016,378726041,24/06/16,2306,47.45,31.79
Middle East and North Africa,Egypt,Personal Care,Offline,M,8/9/2012,469782531,14/10/12,7945,81.73,56.67
Middle East and North Africa,Tunisia ,Household,Offline,C,6/6/2011,365241181,27/06/11,1837,668.27,502.54
Middle East and North Africa,Iraq,Fruits,Online,C,26/10/12,455775821,28/11/12,3049,9.33,6.92
Sub-Saharan Africa,Eritrea,Fruits,Offline,L,7/7/2010,752372777,22/08/10,2679,9.33,6.92
Asia,Sri Lanka,Personal Care,Offline,H,7/8/2010,436330878,28/08/10,8858,81.73,56.67
Europe,Estonia,Baby Food,Offline,M,24/08/12,109261453,27/09/12,1747,255.28,159.42
Sub-Saharan Africa,Sudan,Office Supplies,Offline,M,5/7/2013,443088328,21/08/13,8538,651.21,524.96
Asia,Mongolia,Cosmetics,Online,L,9/2/2011,830047833,16/03/11,8454,437.2,263.33
Sub-Saharan Africa,Botswana,Cosmetics,Online,L,15/10/15,732688796,29/10/15,7752,437.2,263.33
Europe,Armenia,Household,Online,M,25/03/16,133872544,6/4/2016,4716,668.27,502.54
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,L,21/07/13,886772906,5/9/2013,4664,9.33,6.92
Europe,Serbia,Cereal,Online,L,3/7/2017,864876210,15/08/17,4945,205.7,117.11
Europe,Andorra,Household,Offline,C,25/05/12,711981284,16/06/12,9939,668.27,502.54
Europe,Serbia,Beverages,Offline,C,25/11/13,692199456,10/12/2013,6056,47.45,31.79
Sub-Saharan Africa,Cameroon,Cereal,Offline,L,27/03/12,239954555,6/5/2012,6740,205.7,117.11
Europe,Finland,Cosmetics,Offline,C,4/11/2013,209982907,3/12/2013,7463,437.2,263.33
Europe,Cyprus,Cosmetics,Online,H,14/11/14,627333343,18/11/14,732,437.2,263.33
Europe,Germany,Snacks,Offline,M,8/7/2012,237367188,26/08/12,1081,152.58,97.44
Central America and the Caribbean,Grenada,Cereal,Offline,L,3/6/2016,555758273,9/7/2016,78,205.7,117.11
Asia,Maldives,Personal Care,Offline,M,25/07/14,918492925,25/07/14,1322,81.73,56.67
Middle East and North Africa,Morocco,Baby Food,Online,H,1/12/2014,731869971,17/12/14,5443,255.28,159.42
Europe,Bosnia and Herzegovina,Clothes,Offline,L,17/05/11,822500741,7/6/2011,5102,109.28,35.84
Asia,Malaysia,Meat,Offline,M,5/4/2010,287309062,17/05/10,9991,421.89,364.69
Asia,Nepal,Personal Care,Online,H,20/05/11,543531262,3/6/2011,1834,81.73,56.67
Europe,Georgia,Vegetables,Online,C,30/10/11,378716170,16/11/11,9386,154.06,90.93
Sub-Saharan Africa,Equatorial Guinea,Beverages,Offline,M,2/5/2017,900725114,13/06/17,3432,47.45,31.79
Europe,Slovenia,Personal Care,Online,H,2/10/2015,587731921,16/10/15,1791,81.73,56.67
Sub-Saharan Africa,Lesotho,Vegetables,Offline,M,27/02/11,238222920,28/03/11,4311,154.06,90.93
Middle East and North Africa,Bahrain,Vegetables,Online,L,21/06/12,720996940,6/7/2012,7871,154.06,90.93
Asia,North Korea,Office Supplies,Offline,H,15/07/14,725165307,31/07/14,1384,651.21,524.96
Europe,Armenia,Meat,Offline,L,17/01/17,810151851,30/01/17,791,421.89,364.69
Central America and the Caribbean,Costa Rica,Cosmetics,Offline,L,8/3/2013,255692899,11/3/2013,4066,437.2,263.33
Asia,Indonesia,Office Supplies,Online,M,18/02/16,211837279,6/3/2016,6213,651.21,524.96
Sub-Saharan Africa,Angola,Personal Care,Online,L,3/6/2017,548946321,6/6/2017,4270,81.73,56.67
